draw,mu_1,sigma
266,0.06918151676654816,0.4698059856891632
267,0.09604209661483765,0.43572866916656494
268,0.04157140478491783,0.46544724702835083
269,0.0011532735079526901,0.41210082173347473
270,0.05160567909479141,0.39277663826942444
271,0.04824234917759895,0.45492538809776306
272,0.054041970521211624,0.44284242391586304
273,-0.010548146441578865,0.46430036425590515
274,0.06612081080675125,0.5204221606254578
275,0.15465781092643738,0.42358317971229553
276,-0.021965784952044487,0.436359703540802
277,0.048451099544763565,0.47677356004714966
278,-0.05126994103193283,0.46824586391448975
279,0.06058156490325928,0.49355584383010864
280,0.0428423173725605,0.44163352251052856
281,0.06215955317020416,0.42690035700798035
282,0.03835054114460945,0.46952342987060547
283,0.0671205073595047,0.45692235231399536
284,0.02816453017294407,0.4152863919734955
285,0.038225144147872925,0.4574669897556305
286,0.02903900481760502,0.4170244634151459
287,0.10972889512777328,0.4574226438999176
288,0.030637670308351517,0.44008123874664307
289,0.003958923742175102,0.4534434676170349
290,0.013783762231469154,0.43179982900619507
291,0.047546155750751495,0.48288604617118835
292,0.0217882227152586,0.42654532194137573
293,0.029658118262887,0.45343875885009766
294,0.03835716471076012,0.43811121582984924
295,0.014610690996050835,0.4460342526435852
296,-0.041108548641204834,0.41616949439048767
297,-0.020730147138237953,0.42730283737182617
298,0.08096164464950562,0.45525649189949036
299,0.03892582282423973,0.46675217151641846
300,0.04164431244134903,0.4502996802330017
301,0.09647253900766373,0.46662452816963196
302,0.04664809629321098,0.45688316226005554
303,-0.021441733464598656,0.3927490711212158
304,-0.004239702597260475,0.43169358372688293
305,0.007033217698335648,0.4461287558078766
306,-0.0066177863627672195,0.4126316010951996
307,0.017915241420269012,0.424222469329834
308,0.06806468218564987,0.4682658612728119
309,0.0363474003970623,0.47731292247772217
310,0.10108509659767151,0.44465330243110657
311,0.022533580660820007,0.41674697399139404
312,-0.011117735877633095,0.41614973545074463
313,0.04408225417137146,0.4679914712905884
314,0.028469601646065712,0.44478505849838257
